J(74)	1110110110111110
!(33)	1110110110111111
}(125)	111011011011000
{(123)	111011011011001
Z(90)	111011011011010
<(60)	111011011011011
*(42)	111011011011100
TAB(9)	111011011011101
>(62)	111011011011110
_(95)	011110101010
z(122)	011110101011
X(88)	101111101100
Q(81)	101111101101
?(63)	111001001010
U(85)	111001001011
/(47)	111011011010
&(38)	00111001110
;(59)	00111001111
7(55)	01111010100
O(79)	01111010110
Y(89)	01111010111
](93)	10111110111
[(91)	10111111110
R(82)	10111111111
8(56)	11100100100
|(124)	11101101100
N(78)	0011100110
:(58)	0111100100
K(75)	0111100101
W(87)	1011111010
B(66)	1011111110
D(68)	1110010011
6(54)	1110110010
S(83)	1110110011
4(52)	1110110111
9(57)	1111100110
E(69)	1111100111
V(86)	001110010
5(53)	001110100
C(67)	001110101
+(43)	001110110
G(71)	001110111
=(61)	011110000
P(80)	011110001
I(73)	011110011
LF(10)	011110100
j(106)	101111100
3(51)	101111110
-(45)	111001000
2(50)	111011000
H(72)	111011010
L(76)	111110010
T(84)	00111000
q(113)	00111110
A(65)	00111111
k(107)	01111011
F(70)	10111000
M(77)	10111001
x(120)	11100101
)(41)	11100110
((40)	11100111
0(48)	11101110
1(49)	11101111
NUL(0)	11111000
v(118)	0011110
y(121)	1011101
,(44)	1011110
w(119)	1111101
.(46)	011100
b(98)	011101
g(103)	011111
p(112)	100100
f(102)	100101
u(117)	111000
m(109)	111010
c(99)	111111
d(100)	00110
l(108)	10011
h(104)	10110
r(114)	11110
n(110)	0010
s(115)	0100
o(111)	0101
a(97)	0110
i(105)	1000
t(116)	1010
e(101)	000
 (32)	110
